Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set
1997-02-01,1033.11,121.89,16.62927,24.2,68.12,1.27,353093.0,0.038081317204301,0.2577678428867954,0.0186014689266248,0.6590909090909092,0.7826615353453517,0.1963882618510158,0.2982676043902602,-1.291975508397022,0.127707658640097,-1.5695673355853674,1.145457318776253,0.8411976310303245,-0.3560408945282837,0.4010235777907277,Low,High,Medium,Train
1997-03-01,1024.95,137.47,123.4272,24.1,68.91,1.27,353093.0,0.0353393817204301,0.3075203576560753,0.2362873341730749,0.6363636363636367,0.7986631557626092,0.1963882618510158,0.2982676043902602,-1.3002823370345962,0.4642716814554801,-0.1304392167983319,1.033992278954018,0.9141348608893396,-0.3560408945282837,0.4010235777907277,Medium,High,Medium,Train
1997-04-01,1046.46,142.2,295.2634,23.6,71.56,1.27,353093.0,0.0425672043010753,0.3226249401245409,0.5865404886832984,0.5227272727272734,0.8523394774154347,0.1963882618510158,0.2982676043902602,-1.2783852924274608,0.5664506177787638,2.185095431162661,0.4766670798428327,1.1587977205430005,-0.3560408945282837,0.4010235777907277,High,High,Medium,Train
1997-05-01,1065.3,180.44,84.49098,22.6,74.38,1.27,353093.0,0.0488978494623655,0.444738942998563,0.1569237665446936,0.2954545454545458,0.9094591857403282,0.1963882618510158,0.2982676043902602,-1.2592062910142374,1.3925230332126697,-0.6551142647255545,-0.6379833183795379,1.419155933457461,-0.3560408945282837,0.4010235777907277,Low,Low,Medium,Train
1997-06-01,1067.59,155.38,63.12064,22.3,68.28,1.27,353093.0,0.0496673387096774,0.364713396136037,0.1133646736529978,0.2272727272727275,0.7859023698602392,0.1963882618510158,0.2982676043902602,-1.2568750854284476,0.8511690915083371,-0.9430848012522391,-0.97237843784625,0.8559697282169603,-0.3560408945282837,0.4010235777907277,Low,Low,Medium,Train
1997-07-01,1068.02,135.04,76.86362,21.4,56.99,1.27,353093.0,0.0498118279569892,0.2997604981638192,0.1413769440440499,0.0227272727272724,0.5572209844034841,0.1963882618510158,0.2982676043902602,-1.256437348135046,0.4117780630060974,-0.7578947984691531,-1.975563796246386,-0.1863863795150493,-0.3560408945282837,0.4010235777907277,Low,Low,Medium,Train
1997-08-01,1098.17,132.63,103.7909,21.4,56.22,1.27,353093.0,0.059942876344086,0.292064505827878,0.1962627292416978,0.0227272727272724,0.5416244683005875,0.1963882618510158,0.2982676043902602,-1.2257448379116551,0.3597164907990965,-0.3950431419768244,-1.975563796246386,-0.2574770972257359,-0.3560408945282837,0.4010235777907277,Medium,Low,Medium,Train
1997-09-01,1117.12,132.51,96.08696,22.0,64.58,1.27,353093.0,0.0663104838709677,0.2916813028899888,0.1805598139819476,0.1590909090909091,0.7109580717034638,0.1963882618510158,0.2982676043902602,-1.2064538571908177,0.357124213344806,-0.4988556098724866,-1.306773557312962,0.5143649807760002,-0.3560408945282837,0.4010235777907277,Low,Low,Medium,Train
1997-10-01,1140.4,121.09,203.0873,22.7,74.5,1.27,353093.0,0.074133064516129,0.2552131566342008,0.3986582508576842,0.3181818181818183,0.9118898116264942,0.1963882618510158,0.2982676043902602,-1.1827549637247965,0.110425808944827,0.94300003296416,-0.5265182785573033,1.4302350063474385,-0.3560408945282837,0.4010235777907277,High,Low,Medium,Train
1997-11-01,1147.19,118.16,498.109,22.4,72.83,1.27,353093.0,0.0764146505376344,0.2458566182340731,1.0,0.25,0.8780636013773548,0.1963882618510158,0.2982676043902602,-1.1758427864638736,0.0471310344359005,4.918489296869866,-0.8609133980240152,1.276051241961924,-0.3560408945282837,0.4010235777907277,High,Low,Medium,Train
