Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set,Robusta_Kiboko_Price
2006-10-01,1843.4265,95.53,114.4511,23.3,64.19,1.23,166860.0,0.3103648830779079,0.1735927076508092,0.2179913794196573,0.454545454545455,0.7030585375734253,0.1873589164785553,0.0287135634606227,-0.4670781681766411,-0.4417279138870933,-0.251394503809886,0.1422719603761207,0.4783579938835747,-0.4113887222881732,-1.2213635581725777,Medium,Medium,Low,Train,1025.0
2006-11-01,1818.85136363636,103.48,332.7368,23.0,67.29,1.23,166860.0,0.3021071052571695,0.1989801621361648,0.6629223951746165,0.3863636363636367,0.7658497062993725,0.1873589164785553,0.0287135634606227,-0.4920955016514466,-0.2699890991370329,2.6900585202560565,-0.1921231590905912,0.7645673768746499,-0.4113887222881732,-1.2213635581725777,High,Medium,Low,Train,950.0
2006-12-01,1775.33315789474,108.01,157.3521,23.4,71.77,1.23,166860.0,0.2874840460458615,0.2134462211070656,0.3054363449254302,0.4772727272727266,0.8565930727162245,0.1873589164785553,0.0287135634606227,-0.5363967600108548,-0.1721303782794512,0.326706930161524,0.2537370001983554,1.1781860981004595,-0.4113887222881732,-1.2213635581725777,High,Medium,Low,Train,950.0
2007-01-01,1792.27880952381,105.81,110.6879,24.1,66.77,1.5,225353.0,0.2931781518326977,0.2064207620041999,0.2103208613853148,0.6363636363636367,0.7553169941259876,0.2483069977426637,0.1133764562674683,-0.5191461937686445,-0.2196555848769523,-0.302104541252398,1.033992278954018,0.7165580610180816,-0.0377908849089194,-0.7117960231819924,Medium,High,Low,Train,1025.0
2007-02-01,1751.68275,104.18,119.9375,24.5,64.84,1.5,225353.0,0.2795369970091955,0.2012155354870767,0.2291742902783989,0.7272727272727275,0.7162244277901562,0.2483069977426637,0.1133764562674683,-0.5604727257496771,-0.2548674424923734,-0.1774639262629583,1.4798524382429648,0.5383696387042843,-0.0377908849089194,-0.7117960231819924,Medium,High,Low,Train,1000.0
2007-03-01,1750.67642857143,100.09,95.90632,24.9,65.42,1.5,225353.0,0.2791988512243496,0.1881545683367491,0.1801916160712004,0.8181818181818183,0.7279724529066238,0.2483069977426637,0.1133764562674683,-0.561497154602842,-0.3432211220304549,-0.5012899354008588,1.9257125975319116,0.59191849100584,-0.0377908849089194,-0.7117960231819924,Low,High,Low,Train,1000.0
2007-04-01,1728.89078947368,99.3,156.3075,24.3,67.43,1.5,225353.0,0.2718784048719874,0.18563178984072,0.3033071402223387,0.6818181818181825,0.7686854364998992,0.2483069977426637,0.1133764562674683,-0.5836747974938314,-0.3602869916722849,0.3126306904951634,1.2569223585984914,0.7774929619129566,-0.0377908849089194,-0.7117960231819924,High,High,Low,Train,850.0
2007-05-01,1695.15272727273,100.09,126.6768,23.7,70.55,1.5,225353.0,0.2605416856108933,0.1881545683367491,0.242910983036914,0.545454545454545,0.8318817095402069,0.2483069977426637,0.1133764562674683,-0.6180199315506938,-0.3432211220304549,-0.0866502157675497,0.5881321196650674,1.0655488570523597,-0.0377908849089194,-0.7117960231819924,Medium,High,Low,Train,900.0
2007-06-01,1643.57333333333,107.03,126.7178,22.9,63.89,1.5,225353.0,0.2432098926565279,0.2103166984157891,0.2429945532004471,0.3636363636363633,0.6969819728580111,0.2483069977426637,0.1133764562674683,-0.670527428539378,-0.1933006975819745,-0.0860977307720292,-0.3035881989128299,0.4506603116586322,-0.0377908849089194,-0.7117960231819924,Medium,Medium,Low,Train,1000.0
2007-07-01,1652.86977272727,106.2,99.57252,22.1,53.66,1.5,225353.0,0.246333697542213,0.2076661842997079,0.1876644193284034,0.1818181818181825,0.4897711160623861,0.2483069977426637,0.1133764562674683,-0.6610637120006322,-0.2112306618892135,-0.4518869966062855,-1.1953085174907232,-0.4938306522119137,-0.0377908849089194,-0.7117960231819924,Medium,Low,Low,Train,1200.0
